term,ngram_len,total_freq,doc_freq_of_62,example_sentence
ages percent seasonally,3,4,4,"The employment rate among those aged 15 and over (61.8 percent, seasonally adjusted) remained unchanged in May, and together with the employment rate among the prime working ages (25–64, 79.2 percent, seasonally adjusted), is higher than before the crisis  ."
high-tech services industry,3,4,4,"In the high-tech services industry, rates are lower than the precrisis data, although they have increased slightly in the past two months  ."
global indices,2,4,4,"However, since the beginning of the year, the Israeli equity indices are still significantly underperforming relative to global indices  ."
outstanding,1,4,4,"With regard to outstanding bank credit, there was an increase in credit to large businesses in April, alongside a moderation of the increase in credit to medium-sized businesses and a decline in credit to small and micro businesses."
relative to recent,3,4,4,"In addition, capital raised by the high-tech sector declined significantly relative to recent years, which is part of the global trend  ."
continued moderate growth,3,4,4,"Investment houses’ global growth forecasts for 2024 remained virtually unchanged, and they indicate continued moderate growth  ."
eurozone declined,2,4,4,Core inflation in the eurozone declined to 5.6 percent but remains high.
ages increased,2,4,4,"The unemployment rate for those aged 15+ (3.6 percent, seasonally adjusted) remained unchanged relative to the previous month, while the unemployment rate among the prime working ages increased to 3.3 percent (seasonally adjusted) in May, but remains low  ."
working ages increased,3,4,4,"The unemployment rate for those aged 15+ (3.6 percent, seasonally adjusted) remained unchanged relative to the previous month, while the unemployment rate among the prime working ages increased to 3.3 percent (seasonally adjusted) in May, but remains low  ."
real wage level,3,4,4,"In view of these figures, the real wage level increased, and was around the long-term trend in April."
downward trends,2,4,4,The downward trends in the number of housing transactions and in new mortgage volume continued.
market expectations,2,4,4,"With that, interest rate increases and monetary tightening around the world are continuing, and a number of central banks in advanced economies, including the UK and Norway, have raised their interest rates beyond market expectations."
prices of new,3,4,4,"In May–June 2023, the Index of Home Prices declined by 0.2 percent, and the prices of new homes declined by 0.6 percent."
medium small,2,4,4,"However, there are indications of a slight increase in the indices of credit risk to medium, small and micro businesses."
great uncertainty,2,4,4,"However, there is great uncertainty regarding the depth and duration of the impact, and this will be affected by the extent of the fighting."
